id,name,state_id,department_id
1,SAN MARTIN DE LOS ANDES,1,3
2,#<City:0x00007f7a74f45178>,2,""
3,#<City:0x00007f7a752d2fe8>,3,""
4,#<City:0x00007f7a74f76ae8>,4,""
5,San Martin De Los Andes,1,""
6,#<City:0x00007fa39526aa08>,5,""
7,#<City:0x0000560adfd63c20>,6,""
8,#<City:0x00007fec390353b8>,7,""
9,Neuquén,1,1
10,Junin De Los Andes,1,""
11,#<City:0x00007f5af6552028>,8,""
12,#<City:0x00007f5af5ccfe28>,9,""
13,#<City:0x00007f77f1a92318>,10,""
14,#<City:0x00007f77f17be0b0>,11,""
15,#<City:0x000055b28615ff70>,13,""
16,#<City:0x000055b28686f928>,14,""
17,#<City:0x00007f3e353bce08>,15,""
18,#<City:0x00007f3e35087878>,16,""
19,#<City:0x00007f3e34b1d4a0>,17,""
20,#<City:0x000055b286bb0a38>,18,""
21,#<City:0x00007f3e35159288>,19,""
22,#<City:0x00007f3e352ef3e0>,20,""
23,#<City:0x00007f3e35148190>,21,""
24,#<City:0x000055b285d10730>,22,""
25,#<City:0x00007f7f2c6d80c8>,23,""
26,#<City:0x0000562f57952bd0>,24,""
27,#<City:0x0000562f57e39888>,25,""
28,#<City:0x00007f7f2ceb9a08>,26,""
29,#<City:0x00007f7f2ccbac20>,27,""
30,#<City:0x0000562f57f4d760>,28,""
31,#<City:0x0000562f59bfc960>,29,""
32,#<City:0x00007f7f2ccafed8>,30,""
33,#<City:0x0000562f57c159d0>,31,""
34,JUNIN DE LOS ANDES,1,4
35,#<City:0x00007fe100c0db20>,32,""
36,#<City:0x00007f2a0ca8cc48>,33,""
37,PLOTTIER,1,""
38,Plottier,1,""
39,#<City:0x00007f0d08ee7278>,34,""
40,Lago Meliquina,1,""
41,#<City:0x00007f7c50a2dd88>,35,""
42,#<City:0x00005565e94cae88>,36,""
43,ZAPALA,1,16
44,#<City:0x00007f99b4f19348>,37,""
45,#<City:0x000055577bd92768>,38,""
46,#<City:0x00007f3691645158>,39,""
47,#<City:0x00007f9b20be0a38>,40,""
48,#<City:0x000055c79d148e98>,41,""
49,#<City:0x00007f636109af80>,42,""
50,CARHUE,12,""
51,#<City:0x0000564c822f7090>,43,""
52,#<City:0x0000564c83e53258>,44,""
53,#<City:0x00007fef9912b9f8>,45,""
54,#<City:0x00007fef7cde1b88>,48,""
55,#<City:0x00007fa48079a028>,49,""
56,HURLINGHAM,12,""
57,#<City:0x00007fa481b3df58>,50,""
58,#<City:0x00007fa480abd750>,51,""
59,#<City:0x00007f288ce76ad8>,52,""
60,#<City:0x000055d333965918>,53,""
61,#<City:0x000055fb7ab1f758>,56,""
62,#<City:0x00007fd66ce4ab98>,57,""
63,#<City:0x00007fd66d180e20>,58,""
64,11 De Octubre,1,""
65,NEUQUEN,1,""
66,CENTENARIO,1,""
67,OLAVARRIA,12,""
68,#<City:0x00007facf5c68a50>,59,""
69,Caviahue,1,""
70,LA PLATA,12,""
71,#<City:0x00007facf7473d48>,60,""
72,#<City:0x00007face8894468>,61,""
73,#<City:0x00007f08a0766bf0>,62,""
74,#<City:0x00007f08a0c79390>,63,""
75,LAS LAJAS,1,15
76,Buta Ranquil,1,13
77,#<City:0x00005578df05b8a8>,67,""
